meeting,date,day,time,unit,topic,topic_url,materials,task,note
1,30/07/2026,,"מפגש א-סינכרוני,<br><strong>חובה לצפות בהקלטה</strong>",יחידה 1,"""ארכיאולוגיה מהחלל"": חישה מרחוק, ארכיאולוגיה ועיבוד תמונות לוויין ו-GIS",https://docs.google.com/presentation/d/17pcdz56ygVWb68RAOlUitKve_plrk-DkxfMbThfw1uc/edit?usp=sharing,"Ur, Jason 2017. '<a href='https://ariel.primo.exlibrisgroup.com/permalink/972ARIEL_INST/1k66jgh/cdi_wiley_ebooks_10_1002_9781118325216_ch1_ch1' target='_blank'>Physical and Cultural Landscapes of Assyria</a>'; Jotheri, Jaafar and Allen, Mark B. 2020. '<a href='https://durham-repository.worktribe.com/OutputFile/1627216' target='_blank'>Recognition of ancient channels and archaeological sites in the Mesopotamian floodplain using satellite imagery and digital topography</a>'; Barker, Palladino and Gordin 2024, '<a href='https://doi.org/10.1017/S0009840X23002858' target='_blank'>Digital Approaches to Investigating Space and Place</a>'",,"<a href='https://ariel-ac-il.zoom.us/rec/share/_izNNG1OG0kzlHIXrmvsLSbmVZtrn_sEBu4AcPhQ1p_W_lgJ58eFGC57hcF7Ux1a.xg7nbKpeWwT7JrJX?startTime=1742303010000' target='_blank'>⏺ הקלטת המפגש הראשון (זום)</a>"
2,06/08/2026,,"מפגש א-סינכרוני,<br><strong>חובה לצפות בהקלטה</strong>",יחידה 2,"<a href='https://docs.google.com/presentation/d/1BV8WdN2Fw73C8oCqGkXrPPN7TZAbzcJEgCvz5NUvrNA/edit?usp=sharing' target='_blank'>מיפוי וסיפור נתונים ב-Story Map</a>; <a href='https://docs.google.com/presentation/d/1LYizr5bOnlApdDH26hvKzaL5n9UAk94fYdKWAAKA5Iw/edit?usp=sharing' target='_blank'>המאה ה-9 לפנה""ס וההתפשטות האשורית מערבה</a>",,"Erica Y. Hayes and Mia Partlow 2022. '<a href='https://doi.org/10.46430/phen0098' target='_blank'>Displaying a Georeferenced Map in KnightLab's StoryMap JS</a>'; Bonacossi, Daniele Morandi. 2018. '<a href='https://www.terradininive.com/wp-content/uploads/2020/09/D_Morandi_Bonacossi_2018_The_Creation_of.pdf' target='_blank'>The Creation of the Assyrian Heartland</a>'","<strong>לקראת מפגש 2 (להגשה עד 06/08/2026):</strong> <a href='https://forms.gle/N1ERCnBkbaknFwj67' target='_blank'>השתתפות פעילה בנושא חישה מרחוק</a> — לאחר צפייה בהקלטת מפגש 1 וקריאת Ur 2017 ו-Jotheri and Allen 2020 (ר' חומרי הקריאה של מפגש 1)","<a href='https://ariel-ac-il.zoom.us/rec/share/fzuxTgeHhgeUURvItj3veeXc2QIBc1jtkMpQU7yPwzwgw4kx4h0gNquGpUtLA3lD.k5mwbgeSYIfHdMnm?startTime=1744112283000' target='_blank'>⏺ הקלטת מפגש 2 (זום)</a>"
3,13/08/2026,ה,13:00-16:00,יחידה 3,"הארמים והלווים: עלייתם הפוליטית-טריטוריאלית וסקירה ארכיאולוגית",https://docs.google.com/presentation/d/1UTE5CKnmFfACb0rUB5-Sn-ht7vRUL_2nskAnVyKNGZs/edit?usp=sharing,"Sader, H. 2014. '<a href='https://ariel.primo.exlibrisgroup.com/permalink/972ARIEL_INST/2vc4mm/alma994295129207236' target='_blank'>History</a>' (pp. 11-36); Osborne, James F. 2017. '<a href='https://ariel.primo.exlibrisgroup.com/permalink/972ARIEL_INST/1k66jgh/cdi_proquest_journals_1977230530' target='_blank'>Exploring the lower settlements of Iron Age capitals in Anatolia and Syria</a>'","<strong>לקראת מפגש 3 (13/08/2026):</strong> מהו מיפוי דיגיטלי ומהו Story Map, וכיצד יוצרים כזה? צפו במצגת <a href='https://docs.google.com/presentation/d/1BV8WdN2Fw73C8oCqGkXrPPN7TZAbzcJEgCvz5NUvrNA/edit?usp=sharing' target='_blank'>מיפוי וסיפור נתונים ב-Story Map</a>, ובעיקר עקבו צעד-אחר-צעד אחר המדריך <a href='https://doi.org/10.46430/phen0098' target='_blank'>Hayes and Partlow 2022</a> וצרו Story Map ראשוני להתנסות","מפגש זום — ניצור יחד Story Map על אתרים עתיקים, בהמשך לחומר של מפגש 2"
4,20/08/2026,ה,13:00-16:00,יחידה 4,"הצבא האשורי וכלכלת האימפריה: יחסי מסחר בין אשור למערב",https://docs.google.com/presentation/d/1IQYeffFz8RdrVF2Huo1RJPqs7CdC1bNcPgkKG85jmUQ/edit?usp=sharing,"Radner, K. and Marriott, J. 2015. 'Sustaining the Assyrian army among friends and enemies in 714 BCE', <em>JCS</em> 67; מ' אילת, 1990. '<a href='https://drive.google.com/file/d/1KvSGoy1zrKD9MrisZFYyeNdEtWKTNcCN/view?usp=sharing' target='_blank'>המסחר הבינלאומי בארץ ישראל תחת שלטון אשור</a>'","<strong>לקראת מפגש 4 (להגשה עד 20/08/2026):</strong> השתתפות פעילה — הארמים והלווים (Google Form — קישור יתפרסם) — מבוסס על חומרי מפגש 3",
5,27/08/2026,ה,13:00-16:00,יחידה 5,"הבירות האשוריות ופיתוח אזורי ליבה: מפעלי בניה, מים ושינוע אוכלוסייה",https://docs.google.com/presentation/d/1IQYeffFz8RdrVF2Huo1RJPqs7CdC1bNcPgkKG85jmUQ/edit?usp=sharing,"Ur, Jason and Julian Reade. 2015. '<a href='https://core.ac.uk/download/pdf/154876013.pdf' target='_blank'>The Hydraulic Landscape of Nimrud</a>'","<strong>בוחן אמצע (20%):</strong> בוחן אמריקאי קצר (7 שאלות, Google Form) — נפתח לאחר מפגש 5 (27/08/2026) וייסגר ב-02/09/2026. שימו לב: לא ניתן להשלימו לאחר הסגירה! החומר כולל את המצגות, הדיונים והמאמרים עד כה",
6,03/09/2026,ה,13:00-16:00,יחידה 6,"מבט על והתפוררות האימפריה האשורית + סיור VR בעיר בבל (שיעור מעבדה)","","Frahm, E. 2017. 'Assyria's Downfall and the Afterlife and Legacy of the Assyrian Empire (631-609)'; <a href='http://www.lingfil.uu.se/research/assyriology/babylon/' target='_blank'>מודל דיגיטלי של העיר בבל</a>","<strong>לקראת מפגש 6 (להגשה עד 03/09/2026):</strong> השתתפות פעילה — פיתוח אזורי, כלכלה ומבט על (Google Form — קישור יתפרסם) — מבוסס על חומרי מפגש 5",
7,06/09/2026,א,13:00-16:00,יחידה 7,"סדנת Story Map והצגת עבודות הגמר",,"עבודה עצמית על עבודת הגמר; ראו <a href='resources/tools-projects.qmd' target='_blank'>כלים ופרויקטים</a> ל-Story Maps לדוגמה","הגשת עבודת הגמר (Story Map בזוגות) — מועד ההגשה יתפרסם","מפגש סיום ביום א'"
